filename,resolution,width,height,framerate,FramesToBeEncoded,frameinput,foldername,runflag,bitdepth
akiyo_cif.yuv,352x288,352,288,24,300,1,akiyo_cif,1,8
BasketballDrillText_832x480_50.yuv,832x480,832,480,50,501,1,BasketballDrillText_832x480_50,1,8
BasketballDrive_1920x1080_50.yuv,1920x1080,1920,1080,50,501,1,BasketballDrive_1920x1080_50,1,8
BasketballPass_416x240_50.yuv,416x240,416,240,50,501,1,BasketballPass_416x240_50,1,8
BlowingBubbles_416x240_50.yuv,416x240,416,240,50,501,1,BlowingBubbles_416x240_50,1,8
BQMall_832x480_60.yuv,832x480,832,480,60,601,1,BQMall_832x480_60,1,8
BQSquare_416x240_60.yuv,416x240,416,240,60,601,1,BQSquare_416x240_60,0,8
BQTerrace_1920x1080_60.yuv,1920x1080,1920,1080,60,601,1,BQTerrace_1920x1080_60,1,8
Cactus_1920x1080_50.yuv,1920x1080,1920,1080,50,500,1,Cactus_1920x1080_50,0,8
ChinaSpeed_1024x768_30.yuv,1024x768,1024,768,30,500,1,ChinaSpeed_1024x768_30,1,8
FourPeople_1280x720_60.yuv,1280x720,1280,720,60,600,1,FourPeople_1280x720_60,1,8
Johnny_1280x720_60.yuv,1280x720,1280,720,60,600,1,Johnny_1280x720_60,1,8
Kimono1_1920x1080_24.yuv,1920x1080,1920,1080,24,240,1,Kimono1_1920x1080_24,1,8
KristenAndSara_1280x720_60.yuv,1280x720,1280,720,60,600,1,KristenAndSara_1280x720_60,1,8
NebutaFestival_2560x1600_60_10bit_crop.yuv,2560x1600,2560,1600,60,301,1,NebutaFestival_2560x1600_60_10bit_crop,1,10
PartyScene_832x480_50.yuv,832x480,832,480,50,501,1,PartyScene_832x480_50,1,8
PeopleOnStreet_2560x1600_30_crop.yuv,2560x1600,2560,1600,30,150,1,PeopleOnStreet_2560x1600_30_crop,1,8
RaceHorses_416x240_30.yuv,416x240,416,240,30,300,1,RaceHorses_416x240_30,0,8
SlideEditing_1280x720_30.yuv,1280x720,1280,720,30,300,1,SlideEditing_1280x720_30,1,8
SlideShow_1280x720_20.yuv,1280x720,1280,720,20,500,1,SlideShow_1280x720_20,1,8
SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv,2560x1600,2560,1600,60,301,1,SteamLocomotiveTrain_2560x1600_60_10bit_crop,1,10
Traffic_2560x1600_30_crop.yuv,2560x1600,2560,1600,30,150,1,Traffic_2560x1600_30_crop,1,8
vidyo1_1280x720_60.yuv,1280x720,1280,720,60,600,1,vidyo1_1280x720_60,0,8
vidyo3_1280x720_60.yuv,1280x720,1280,720,60,600,1,vidyo3_1280x720_60,0,8
vidyo4_1280x720_60.yuv,1280x720,1280,720,60,600,1,vidyo4_1280x720_60,0,8
